timestep,neuron Brick-0.0,neuron Brick-0.1,neuron Brick-0.2,neuron Brick-0.3,neuron Brick-0.4,neuron Brick-0.5,neuron Brick-0.6,neuron Brick-0.7,neuron Brick-0.8,neuron Brick-0.9,neuron Brick-0.10,neuron Brick-0.11,neuron Brick-0.12,neuron Brick-0.13,neuron Brick-0.14,neuron Brick-0.15,neuron Brick-0.16,neuron Brick-0.17,neuron Brick-0.18,neuron Brick-0.19,neuron Brick-0.20,neuron Brick-0.21,neuron Brick-0.22,neuron Brick-0.23,neuron Brick-0.24,neuron Brick-0.25,neuron Brick-0.26,neuron Brick-0.27,neuron Brick-0.28,neuron Brick-0.29,neuron Brick-0.30,neuron Brick-0.31,neuron Brick-0.32,neuron Brick-0.33,neuron Brick-0.34,neuron Brick-0.35,neuron Brick-0.36,neuron Brick-0.37,neuron Brick-0.38,neuron Brick-0.39,neuron Brick-0.40,neuron Brick-0.41,neuron Brick-0.42,neuron Brick-0.43,neuron Brick-0.44,neuron Brick-0.45,neuron Brick-0.46,neuron Brick-0.47,neuron Brick-0.48,neuron Brick-0.49,neuron Brick-0.50,neuron Brick-0.51,neuron Brick-0.52,neuron Brick-0.53,neuron Brick-0.54,neuron Brick-0.55,neuron Brick-0.56,neuron Brick-0.57,neuron Brick-0.58,neuron Brick-0.59,neuron Brick-0.60,neuron Brick-0.61,neuron Brick-0.62,neuron Brick-0.63,neuron Brick-0.64,neuron Brick-0.65,neuron Brick-0.66,neuron Brick-0.67,neuron Brick-0.68,neuron Brick-0.69,neuron Brick-0.70,neuron Brick-0.71,neuron Brick-0.72,neuron Brick-0.73,neuron Brick-0.74,neuron Brick-0.75,neuron Brick-0.76,neuron Brick-0.77,neuron Brick-0.78,neuron Brick-0.79,neuron Brick-0.80,neuron Brick-0.81,neuron Brick-0.82,neuron Brick-0.83,neuron Brick-0.84,neuron Brick-0.85,neuron Brick-0.86,neuron Brick-0.87,neuron Brick-0.88,neuron Brick-0.89,neuron Brick-0.90,neuron Brick-0.91,neuron Brick-0.92,neuron Brick-0.93,neuron Brick-0.94,neuron Brick-0.95,neuron Brick-0.96,neuron Brick-0.97,neuron Brick-0.98,neuron Brick-0.99,neuron Brick-0.100,neuron Brick-0.101,neuron Brick-0.102,neuron Brick-0.103,neuron Brick-0.104,neuron Brick-0.105,neuron Brick-0.106,neuron Brick-0.107,neuron Brick-0.108,neuron Brick-0.109,neuron Brick-0.110,neuron Brick-0.111,neuron Brick-0.112,neuron Brick-0.113,neuron Brick-0.114,neuron Brick-0.115,neuron Brick-0.116,neuron Brick-0.117,neuron Brick-0.118,neuron Brick-0.119,neuron Brick-0.120,neuron Brick-0.121,neuron Brick-0.122,neuron Brick-0.123,neuron Brick-0.124,neuron Brick-0.125,neuron Brick-0.126,neuron Brick-0.127,neuron Brick-0.128,neuron Brick-0.129,neuron Brick-0.130,neuron Brick-0.131,neuron Brick-0.132,neuron Brick-0.133,neuron Brick-0.134,neuron Brick-0.135,neuron Brick-0.136,neuron Brick-0.137,neuron Brick-0.138,neuron Brick-0.139,neuron Brick-0.140,neuron Brick-0.141,neuron Brick-0.142,neuron Brick-0.143,neuron Brick-0.144,neuron Brick-0.145,neuron Brick-0.146,neuron Brick-0.147,neuron Brick-0.148,neuron Brick-0.149,neuron Brick-0.150,neuron Brick-0.151,neuron Brick-0.152,neuron Brick-0.153,neuron Brick-0.154,neuron Brick-0.155,neuron Brick-0.156,neuron Brick-0.157,neuron Brick-0.158,neuron Brick-0.159,neuron Brick-0.160,neuron Brick-0.161,neuron Brick-0.162,neuron Brick-0.163,neuron Brick-0.164,neuron Brick-0.165,neuron Brick-0.166,neuron Brick-0.167,neuron Brick-0.168,neuron Brick-0.169,neuron Brick-0.170,neuron Brick-0.171,neuron Brick-0.172,neuron Brick-0.173,neuron Brick-0.174,neuron Brick-0.175,neuron Brick-0.176,neuron Brick-0.177,neuron Brick-0.178,neuron Brick-0.179,neuron Brick-0.180,neuron Brick-0.181,neuron Brick-0.182,neuron Brick-0.183,neuron Brick-0.184,neuron Brick-0.185,neuron Brick-0.186,neuron Brick-0.187,neuron Brick-0.188,neuron Brick-0.189,neuron Brick-0.190,neuron Brick-0.191,neuron Brick-0.192,neuron Brick-0.193,neuron Brick-0.194,neuron Brick-0.195,neuron Brick-0.196,neuron Brick-0.197,neuron Brick-0.198,neuron Brick-0.199,
101,41,41,32,42,27,31,41,29,42,44,51,39,42,33,43,49,35,44,46,41,49,33,44,31,37,48,49,47,45,36,44,40,43,53,42,37,38,43,43,35,41,36,36,35,32,43,42,47,37,33,45,41,40,38,35,42,33,40,42,40,39,39,40,36,40,38,47,29,46,39,31,37,40,36,45,37,47,51,46,48,34,31,49,40,43,40,30,45,37,50,37,33,43,36,32,44,37,43,32,33,37,51,34,48,46,44,47,43,41,44,38,41,37,41,35,41,45,31,52,45,50,46,54,34,43,29,39,44,35,43,36,27,47,49,41,37,44,42,39,40,39,42,43,34,44,42,45,46,49,41,46,41,41,36,39,44,41,38,39,50,56,45,37,45,34,44,44,51,51,44,45,40,38,38,44,47,42,36,44,45,41,27,46,49,53,38,45,40,41,36,41,44,39,35,42,36,39,45,34,46,
102,42,42,33,43,28,32,42,30,43,45,52,40,43,34,44,50,36,45,47,42,50,34,45,32,38,49,50,48,46,37,45,41,44,54,43,38,39,44,44,36,42,37,37,36,33,44,43,48,38,34,46,42,41,39,36,43,34,41,43,41,40,40,41,37,41,39,48,30,47,40,32,38,41,37,46,38,48,52,47,49,35,32,50,41,44,41,31,46,38,51,38,34,44,37,33,45,38,44,33,34,38,52,35,49,47,45,48,44,42,45,39,42,38,42,36,42,46,32,53,46,51,47,55,35,44,30,40,45,36,44,37,28,48,50,42,38,45,43,40,41,40,43,44,35,45,43,46,47,50,42,47,42,42,37,40,45,42,39,40,51,57,46,38,46,35,45,45,52,52,45,46,41,39,39,45,48,43,37,45,46,42,28,47,50,54,39,46,41,42,37,42,45,40,36,43,37,40,46,35,47,
103,43,43,34,44,29,33,43,31,44,46,53,41,44,35,45,51,37,46,48,43,51,35,46,33,39,50,51,49,47,38,46,42,45,55,44,39,40,45,45,37,43,38,38,37,34,45,44,49,39,35,47,43,42,40,37,44,35,42,44,42,41,41,42,38,42,40,49,31,48,41,33,39,42,38,47,39,49,53,48,50,36,33,51,42,45,42,32,47,39,52,39,35,45,38,34,46,39,45,34,35,39,53,36,50,48,46,49,45,43,46,40,43,39,43,37,43,47,33,54,47,52,48,56,36,45,31,41,46,37,45,38,29,49,51,43,39,46,44,41,42,41,44,45,36,46,44,47,48,51,43,48,43,43,38,41,46,43,40,41,52,58,47,39,47,36,46,46,53,53,46,47,42,40,40,46,49,44,38,46,47,43,29,48,51,55,40,47,42,43,38,43,46,41,37,44,38,41,47,36,48,
104,44,44,35,45,30,34,44,32,45,47,54,42,45,36,46,52,38,47,49,44,52,36,47,34,40,51,52,50,48,39,47,43,46,56,45,40,41,46,46,38,44,39,39,38,35,46,45,50,40,36,48,44,43,41,38,45,36,43,45,43,42,42,43,39,43,41,50,32,49,42,34,40,43,39,48,40,50,54,49,51,37,34,52,43,46,43,33,48,40,53,40,36,46,39,35,47,40,46,35,36,40,54,37,51,49,47,50,46,44,47,41,44,40,44,38,44,48,34,55,48,53,49,57,37,46,32,42,47,38,46,39,30,50,52,44,40,47,45,42,43,42,45,46,37,47,45,48,49,52,44,49,44,44,39,42,47,44,41,42,53,59,48,40,48,37,47,47,54,54,47,48,43,41,41,47,50,45,39,47,48,44,30,49,52,56,41,48,43,44,39,44,47,42,38,45,39,42,48,37,49,
105,45,45,36,46,31,35,45,33,46,48,55,43,46,37,47,53,39,48,50,45,53,37,48,35,41,52,53,51,49,40,48,44,47,57,46,41,42,47,47,39,45,40,40,39,36,47,46,51,41,37,49,45,44,42,39,46,37,44,46,44,43,43,44,40,44,42,51,33,50,43,35,41,44,40,49,41,51,55,50,52,38,35,53,44,47,44,34,49,41,54,41,37,47,40,36,48,41,47,36,37,41,55,38,52,50,48,51,47,45,48,42,45,41,45,39,45,49,35,56,49,54,50,58,38,47,33,43,48,39,47,40,31,51,53,45,41,48,46,43,44,43,46,47,38,48,46,49,50,53,45,50,45,45,40,43,48,45,42,43,54,60,49,41,49,38,48,48,55,55,48,49,44,42,42,48,51,46,40,48,49,45,31,50,53,57,42,49,44,45,40,45,48,43,39,46,40,43,49,38,50,
106,46,46,37,47,32,36,46,34,47,49,56,44,47,38,48,54,40,49,51,46,54,38,49,36,42,53,54,52,50,41,49,45,48,58,47,42,43,48,48,40,46,41,41,40,37,48,47,52,42,38,50,46,45,43,40,47,38,45,47,45,44,44,45,41,45,43,52,34,51,44,36,42,45,41,50,42,52,56,51,53,39,36,54,45,48,45,35,50,42,55,42,38,48,41,37,49,42,48,37,38,42,56,39,53,51,49,52,48,46,49,43,46,42,46,40,46,50,36,57,50,55,51,59,39,48,34,44,49,40,48,41,32,52,54,46,42,49,47,44,45,44,47,48,39,49,47,50,51,54,46,51,46,46,41,44,49,46,43,44,55,61,50,42,50,39,49,49,56,56,49,50,45,43,43,49,52,47,41,49,50,46,32,51,54,58,43,50,45,46,41,46,49,44,40,47,41,44,50,39,51,
107,47,47,38,48,33,37,47,35,48,50,57,45,48,39,49,55,41,50,52,47,55,39,50,37,43,54,55,53,51,42,50,46,49,59,48,43,44,49,49,41,47,42,42,41,38,49,48,53,43,39,51,47,46,44,41,48,39,46,48,46,45,45,46,42,46,44,53,35,52,45,37,43,46,42,51,43,53,57,52,54,40,37,55,46,49,46,36,51,43,56,43,39,49,42,38,50,43,49,38,39,43,57,40,54,52,50,53,49,47,50,44,47,43,47,41,47,51,37,58,51,56,52,60,40,49,35,45,50,41,49,42,33,53,55,47,43,50,48,45,46,45,48,49,40,50,48,51,52,55,47,52,47,47,42,45,50,47,44,45,56,62,51,43,51,40,50,50,57,57,50,51,46,44,44,50,53,48,42,50,51,47,33,52,55,59,44,51,46,47,42,47,50,45,41,48,42,45,51,40,52,
108,48,48,39,49,34,38,48,36,49,51,58,46,49,40,50,56,42,51,53,48,56,40,51,38,44,55,56,54,52,43,51,47,50,60,49,44,45,50,50,42,48,43,43,42,39,50,49,54,44,40,52,48,47,45,42,49,40,47,49,47,46,46,47,43,47,45,54,36,53,46,38,44,47,43,52,44,54,58,53,55,41,38,56,47,50,47,37,52,44,57,44,40,50,43,39,51,44,50,39,40,44,58,41,55,53,51,54,50,48,51,45,48,44,48,42,48,52,38,59,52,57,53,61,41,50,36,46,51,42,50,43,34,54,56,48,44,51,49,46,47,46,49,50,41,51,49,52,53,56,48,53,48,48,43,46,51,48,45,46,57,63,52,44,52,41,51,51,58,58,51,52,47,45,45,51,54,49,43,51,52,48,34,53,56,60,45,52,47,48,43,48,51,46,42,49,43,46,52,41,53,
109,49,49,40,50,35,39,49,37,50,52,59,47,50,41,51,57,43,52,54,49,57,41,52,39,45,56,57,55,53,44,52,48,51,61,50,45,46,51,51,43,49,44,44,43,40,51,50,55,45,41,53,49,48,46,43,50,41,48,50,48,47,47,48,44,48,46,55,37,54,47,39,45,48,44,53,45,55,59,54,56,42,39,57,48,51,48,38,53,45,58,45,41,51,44,40,52,45,51,40,41,45,59,42,56,54,52,55,51,49,52,46,49,45,49,43,49,53,39,60,53,58,54,62,42,51,37,47,52,43,51,44,35,55,57,49,45,52,50,47,48,47,50,51,42,52,50,53,54,57,49,54,49,49,44,47,52,49,46,47,58,64,53,45,53,42,52,52,59,59,52,53,48,46,46,52,55,50,44,52,53,49,35,54,57,61,46,53,48,49,44,49,52,47,43,50,44,47,53,42,54,
110,50,50,41,51,36,40,50,38,51,53,60,48,51,42,52,58,44,53,55,50,58,42,53,40,46,57,58,56,54,45,53,49,52,62,51,46,47,52,52,44,50,45,45,44,41,52,51,56,46,42,54,50,49,47,44,51,42,49,51,49,48,48,49,45,49,47,56,38,55,48,40,46,49,45,54,46,56,60,55,57,43,40,58,49,52,49,39,54,46,59,46,42,52,45,41,53,46,52,41,42,46,60,43,57,55,53,56,52,50,53,47,50,46,50,44,50,54,40,61,54,59,55,63,43,52,38,48,53,44,52,45,36,56,58,50,46,53,51,48,49,48,51,52,43,53,51,54,55,58,50,55,50,50,45,48,53,50,47,48,59,65,54,46,54,43,53,53,60,60,53,54,49,47,47,53,56,51,45,53,54,50,36,55,58,62,47,54,49,50,45,50,53,48,44,51,45,48,54,43,55,
111,51,51,42,52,37,41,51,39,52,54,61,49,52,43,53,59,45,54,56,51,59,43,54,41,47,58,59,57,55,46,54,50,53,63,52,47,48,53,53,45,51,46,46,45,42,53,52,57,47,43,55,51,50,48,45,52,43,50,52,50,49,49,50,46,50,48,57,39,56,49,41,47,50,46,55,47,57,61,56,58,44,41,59,50,53,50,40,55,47,60,47,43,53,46,42,54,47,53,42,43,47,61,44,58,56,54,57,53,51,54,48,51,47,51,45,51,55,41,62,55,60,56,64,44,53,39,49,54,45,53,46,37,57,59,51,47,54,52,49,50,49,52,53,44,54,52,55,56,59,51,56,51,51,46,49,54,51,48,49,60,66,55,47,55,44,54,54,61,61,54,55,50,48,48,54,57,52,46,54,55,51,37,56,59,63,48,55,50,51,46,51,54,49,45,52,46,49,55,44,56,
112,52,52,43,53,38,42,52,40,53,55,62,50,53,44,54,60,46,55,57,52,60,44,55,42,48,59,60,58,56,47,55,51,54,64,53,48,49,54,54,46,52,47,47,46,43,54,53,58,48,44,56,52,51,49,46,53,44,51,53,51,50,50,51,47,51,49,58,40,57,50,42,48,51,47,56,48,58,62,57,59,45,42,60,51,54,51,41,56,48,61,48,44,54,47,43,55,48,54,43,44,48,62,45,59,57,55,58,54,52,55,49,52,48,52,46,52,56,42,63,56,61,57,65,45,54,40,50,55,46,54,47,38,58,60,52,48,55,53,50,51,50,53,54,45,55,53,56,57,60,52,57,52,52,47,50,55,52,49,50,61,67,56,48,56,45,55,55,62,62,55,56,51,49,49,55,58,53,47,55,56,52,38,57,60,64,49,56,51,52,47,52,55,50,46,53,47,50,56,45,57,
113,53,53,44,54,39,43,53,41,54,56,63,51,54,45,55,61,47,56,58,53,61,45,56,43,49,60,61,59,57,48,56,52,55,65,54,49,50,55,55,47,53,48,48,47,44,55,54,59,49,45,57,53,52,50,47,54,45,52,54,52,51,51,52,48,52,50,59,41,58,51,43,49,52,48,57,49,59,63,58,60,46,43,61,52,55,52,42,57,49,62,49,45,55,48,44,56,49,55,44,45,49,63,46,60,58,56,59,55,53,56,50,53,49,53,47,53,57,43,64,57,62,58,66,46,55,41,51,56,47,55,48,39,59,61,53,49,56,54,51,52,51,54,55,46,56,54,57,58,61,53,58,53,53,48,51,56,53,50,51,62,68,57,49,57,46,56,56,63,63,56,57,52,50,50,56,59,54,48,56,57,53,39,58,61,65,50,57,52,53,48,53,56,51,47,54,48,51,57,46,58,
114,54,54,45,55,40,44,54,42,55,57,64,52,55,46,56,62,48,57,59,54,62,46,57,44,50,61,62,60,58,49,57,53,56,66,55,50,51,56,56,48,54,49,49,48,45,56,55,60,50,46,58,54,53,51,48,55,46,53,55,53,52,52,53,49,53,51,60,42,59,52,44,50,53,49,58,50,60,64,59,61,47,44,62,53,56,53,43,58,50,63,50,46,56,49,45,57,50,56,45,46,50,64,47,61,59,57,60,56,54,57,51,54,50,54,48,54,58,44,65,58,63,59,67,47,56,42,52,57,48,56,49,40,60,62,54,50,57,55,52,53,52,55,56,47,57,55,58,59,62,54,59,54,54,49,52,57,54,51,52,63,69,58,50,58,47,57,57,64,64,57,58,53,51,51,57,60,55,49,57,58,54,40,59,62,66,51,58,53,54,49,54,57,52,48,55,49,52,58,47,59,
115,55,55,46,56,41,45,55,43,56,58,65,53,56,47,57,63,49,58,60,55,63,47,58,45,51,62,63,61,59,50,58,54,57,67,56,51,52,57,57,49,55,50,50,49,46,57,56,61,51,47,59,55,54,52,49,56,47,54,56,54,53,53,54,50,54,52,61,43,60,53,45,51,54,50,59,51,61,65,60,62,48,45,63,54,57,54,44,59,51,64,51,47,57,50,46,58,51,57,46,47,51,65,48,62,60,58,61,57,55,58,52,55,51,55,49,55,59,45,66,59,64,60,68,48,57,43,53,58,49,57,50,41,61,63,55,51,58,56,53,54,53,56,57,48,58,56,59,60,63,55,60,55,55,50,53,58,55,52,53,64,70,59,51,59,48,58,58,65,65,58,59,54,52,52,58,61,56,50,58,59,55,41,60,63,67,52,59,54,55,50,55,58,53,49,56,50,53,59,48,60,
116,56,56,47,57,42,46,56,44,57,59,66,54,57,48,58,64,50,59,61,56,64,48,59,46,52,63,64,62,60,51,59,55,58,68,57,52,53,58,58,50,56,51,51,50,47,58,57,62,52,48,60,56,55,53,50,57,48,55,57,55,54,54,55,51,55,53,62,44,61,54,46,52,55,51,60,52,62,66,61,63,49,46,64,55,58,55,45,60,52,65,52,48,58,51,47,59,52,58,47,48,52,66,49,63,61,59,62,58,56,59,53,56,52,56,50,56,60,46,67,60,65,61,69,49,58,44,54,59,50,58,51,42,62,64,56,52,59,57,54,55,54,57,58,49,59,57,60,61,64,56,61,56,56,51,54,59,56,53,54,65,71,60,52,60,49,59,59,66,66,59,60,55,53,53,59,62,57,51,59,60,56,42,61,64,68,53,60,55,56,51,56,59,54,50,57,51,54,60,49,61,
117,57,57,48,58,43,47,57,45,58,60,67,55,58,49,59,65,51,60,62,57,65,49,60,47,53,64,65,63,61,52,60,56,59,69,58,53,54,59,59,51,57,52,52,51,48,59,58,63,53,49,61,57,56,54,51,58,49,56,58,56,55,55,56,52,56,54,63,45,62,55,47,53,56,52,61,53,63,67,62,64,50,47,65,56,59,56,46,61,53,66,53,49,59,52,48,60,53,59,48,49,53,67,50,64,62,60,63,59,57,60,54,57,53,57,51,57,61,47,68,61,66,62,70,50,59,45,55,60,51,59,52,43,63,65,57,53,60,58,55,56,55,58,59,50,60,58,61,62,65,57,62,57,57,52,55,60,57,54,55,66,72,61,53,61,50,60,60,67,67,60,61,56,54,54,60,63,58,52,60,61,57,43,62,65,69,54,61,56,57,52,57,60,55,51,58,52,55,61,50,62,
118,58,58,49,59,44,48,58,46,59,61,68,56,59,50,60,66,52,61,63,58,66,50,61,48,54,65,66,64,62,53,61,57,60,70,59,54,55,60,60,52,58,53,53,52,49,60,59,64,54,50,62,58,57,55,52,59,50,57,59,57,56,56,57,53,57,55,64,46,63,56,48,54,57,53,62,54,64,68,63,65,51,48,66,57,60,57,47,62,54,67,54,50,60,53,49,61,54,60,49,50,54,68,51,65,63,61,64,60,58,61,55,58,54,58,52,58,62,48,69,62,67,63,71,51,60,46,56,61,52,60,53,44,64,66,58,54,61,59,56,57,56,59,60,51,61,59,62,63,66,58,63,58,58,53,56,61,58,55,56,67,73,62,54,62,51,61,61,68,68,61,62,57,55,55,61,64,59,53,61,62,58,44,63,66,70,55,62,57,58,53,58,61,56,52,59,53,56,62,51,63,
119,59,59,50,60,45,49,59,47,60,62,69,57,60,51,61,67,53,62,64,59,67,51,62,49,55,66,67,65,63,54,62,58,61,71,60,55,56,61,61,53,59,54,54,53,50,61,60,65,55,51,63,59,58,56,53,60,51,58,60,58,57,57,58,54,58,56,65,47,64,57,49,55,58,54,63,55,65,69,64,66,52,49,67,58,61,58,48,63,55,68,55,51,61,54,50,62,55,61,50,51,55,69,52,66,64,62,65,61,59,62,56,59,55,59,53,59,63,49,70,63,68,64,72,52,61,47,57,62,53,61,54,45,65,67,59,55,62,60,57,58,57,60,61,52,62,60,63,64,67,59,64,59,59,54,57,62,59,56,57,68,74,63,55,63,52,62,62,69,69,62,63,58,56,56,62,65,60,54,62,63,59,45,64,67,71,56,63,58,59,54,59,62,57,53,60,54,57,63,52,64,
120,60,60,51,61,46,50,60,48,61,63,70,58,61,52,62,68,54,63,65,60,68,52,63,50,56,67,68,66,64,55,63,59,62,72,61,56,57,62,62,54,60,55,55,54,51,62,61,66,56,52,64,60,59,57,54,61,52,59,61,59,58,58,59,55,59,57,66,48,65,58,50,56,59,55,64,56,66,70,65,67,53,50,68,59,62,59,49,64,56,69,56,52,62,55,51,63,56,62,51,52,56,70,53,67,65,63,66,62,60,63,57,60,56,60,54,60,64,50,71,64,69,65,73,53,62,48,58,63,54,62,55,46,66,68,60,56,63,61,58,59,58,61,62,53,63,61,64,65,68,60,65,60,60,55,58,63,60,57,58,69,75,64,56,64,53,63,63,70,70,63,64,59,57,57,63,66,61,55,63,64,60,46,65,68,72,57,64,59,60,55,60,63,58,54,61,55,58,64,53,65,
121,61,61,52,62,47,51,61,49,62,64,71,59,62,53,63,69,55,64,66,61,69,53,64,51,57,68,69,67,65,56,64,60,63,73,62,57,58,63,63,55,61,56,56,55,52,63,62,67,57,53,65,61,60,58,55,62,53,60,62,60,59,59,60,56,60,58,67,49,66,59,51,57,60,56,65,57,67,71,66,68,54,51,69,60,63,60,50,65,57,70,57,53,63,56,52,64,57,63,52,53,57,71,54,68,66,64,67,63,61,64,58,61,57,61,55,61,65,51,72,65,70,66,74,54,63,49,59,64,55,63,56,47,67,69,61,57,64,62,59,60,59,62,63,54,64,62,65,66,69,61,66,61,61,56,59,64,61,58,59,70,76,65,57,65,54,64,64,71,71,64,65,60,58,58,64,67,62,56,64,65,61,47,66,69,73,58,65,60,61,56,61,64,59,55,62,56,59,65,54,66,
122,62,62,53,63,48,52,62,50,63,65,72,60,63,54,64,70,56,65,67,62,70,54,65,52,58,69,70,68,66,57,65,61,64,74,63,58,59,64,64,56,62,57,57,56,53,64,63,68,58,54,66,62,61,59,56,63,54,61,63,61,60,60,61,57,61,59,68,50,67,60,52,58,61,57,66,58,68,72,67,69,55,52,70,61,64,61,51,66,58,71,58,54,64,57,53,65,58,64,53,54,58,72,55,69,67,65,68,64,62,65,59,62,58,62,56,62,66,52,73,66,71,67,75,55,64,50,60,65,56,64,57,48,68,70,62,58,65,63,60,61,60,63,64,55,65,63,66,67,70,62,67,62,62,57,60,65,62,59,60,71,77,66,58,66,55,65,65,72,72,65,66,61,59,59,65,68,63,57,65,66,62,48,67,70,74,59,66,61,62,57,62,65,60,56,63,57,60,66,55,67,
123,63,63,54,64,49,53,63,51,64,66,73,61,64,55,65,71,57,66,68,63,71,55,66,53,59,70,71,69,67,58,66,62,65,75,64,59,60,65,65,57,63,58,58,57,54,65,64,69,59,55,67,63,62,60,57,64,55,62,64,62,61,61,62,58,62,60,69,51,68,61,53,59,62,58,67,59,69,73,68,70,56,53,71,62,65,62,52,67,59,72,59,55,65,58,54,66,59,65,54,55,59,73,56,70,68,66,69,65,63,66,60,63,59,63,57,63,67,53,74,67,72,68,76,56,65,51,61,66,57,65,58,49,69,71,63,59,66,64,61,62,61,64,65,56,66,64,67,68,71,63,68,63,63,58,61,66,63,60,61,72,78,67,59,67,56,66,66,73,73,66,67,62,60,60,66,69,64,58,66,67,63,49,68,71,75,60,67,62,63,58,63,66,61,57,64,58,61,67,56,68,
124,64,64,55,65,50,54,64,52,65,67,74,62,65,56,66,72,58,67,69,64,72,56,67,54,60,71,72,70,68,59,67,63,66,76,65,60,61,66,66,58,64,59,59,58,55,66,65,70,60,56,68,64,63,61,58,65,56,63,65,63,62,62,63,59,63,61,70,52,69,62,54,60,63,59,68,60,70,74,69,71,57,54,72,63,66,63,53,68,60,73,60,56,66,59,55,67,60,66,55,56,60,74,57,71,69,67,70,66,64,67,61,64,60,64,58,64,68,54,75,68,73,69,77,57,66,52,62,67,58,66,59,50,70,72,64,60,67,65,62,63,62,65,66,57,67,65,68,69,72,64,69,64,64,59,62,67,64,61,62,73,79,68,60,68,57,67,67,74,74,67,68,63,61,61,67,70,65,59,67,68,64,50,69,72,76,61,68,63,64,59,64,67,62,58,65,59,62,68,57,69,
125,65,65,56,66,51,55,65,53,66,68,75,63,66,57,67,73,59,68,70,65,73,57,68,55,61,72,73,71,69,60,68,64,67,77,66,61,62,67,67,59,65,60,60,59,56,67,66,71,61,57,69,65,64,62,59,66,57,64,66,64,63,63,64,60,64,62,71,53,70,63,55,61,64,60,69,61,71,75,70,72,58,55,73,64,67,64,54,69,61,74,61,57,67,60,56,68,61,67,56,57,61,75,58,72,70,68,71,67,65,68,62,65,61,65,59,65,69,55,76,69,74,70,78,58,67,53,63,68,59,67,60,51,71,73,65,61,68,66,63,64,63,66,67,58,68,66,69,70,73,65,70,65,65,60,63,68,65,62,63,74,80,69,61,69,58,68,68,75,75,68,69,64,62,62,68,71,66,60,68,69,65,51,70,73,77,62,69,64,65,60,65,68,63,59,66,60,63,69,58,70,
126,66,66,57,67,52,56,66,54,67,69,76,64,67,58,68,74,60,69,71,66,74,58,69,56,62,73,74,72,70,61,69,65,68,78,67,62,63,68,68,60,66,61,61,60,57,68,67,72,62,58,70,66,65,63,60,67,58,65,67,65,64,64,65,61,65,63,72,54,71,64,56,62,65,61,70,62,72,76,71,73,59,56,74,65,68,65,55,70,62,75,62,58,68,61,57,69,62,68,57,58,62,76,59,73,71,69,72,68,66,69,63,66,62,66,60,66,70,56,77,70,75,71,79,59,68,54,64,69,60,68,61,52,72,74,66,62,69,67,64,65,64,67,68,59,69,67,70,71,74,66,71,66,66,61,64,69,66,63,64,75,81,70,62,70,59,69,69,76,76,69,70,65,63,63,69,72,67,61,69,70,66,52,71,74,78,63,70,65,66,61,66,69,64,60,67,61,64,70,59,71,
127,67,67,58,68,53,57,67,55,68,70,77,65,68,59,69,75,61,70,72,67,75,59,70,57,63,74,75,73,71,62,70,66,69,79,68,63,64,69,69,61,67,62,62,61,58,69,68,73,63,59,71,67,66,64,61,68,59,66,68,66,65,65,66,62,66,64,73,55,72,65,57,63,66,62,71,63,73,77,72,74,60,57,75,66,69,66,56,71,63,76,63,59,69,62,58,70,63,69,58,59,63,77,60,74,72,70,73,69,67,70,64,67,63,67,61,67,71,57,78,71,76,72,80,60,69,55,65,70,61,69,62,53,73,75,67,63,70,68,65,66,65,68,69,60,70,68,71,72,75,67,72,67,67,62,65,70,67,64,65,76,82,71,63,71,60,70,70,77,77,70,71,66,64,64,70,73,68,62,70,71,67,53,72,75,79,64,71,66,67,62,67,70,65,61,68,62,65,71,60,72,
128,68,68,59,69,54,58,68,56,69,71,78,66,69,60,70,76,62,71,73,68,76,60,71,58,64,75,76,74,72,63,71,67,70,80,69,64,65,70,70,62,68,63,63,62,59,70,69,74,64,60,72,68,67,65,62,69,60,67,69,67,66,66,67,63,67,65,74,56,73,66,58,64,67,63,72,64,74,78,73,75,61,58,76,67,70,67,57,72,64,77,64,60,70,63,59,71,64,70,59,60,64,78,61,75,73,71,74,70,68,71,65,68,64,68,62,68,72,58,79,72,77,73,81,61,70,56,66,71,62,70,63,54,74,76,68,64,71,69,66,67,66,69,70,61,71,69,72,73,76,68,73,68,68,63,66,71,68,65,66,77,83,72,64,72,61,71,71,78,78,71,72,67,65,65,71,74,69,63,71,72,68,54,73,76,80,65,72,67,68,63,68,71,66,62,69,63,66,72,61,73,
129,69,69,60,70,55,59,69,57,70,72,79,67,70,61,71,77,63,72,74,69,77,61,72,59,65,76,77,75,73,64,72,68,71,81,70,65,66,71,71,63,69,64,64,63,60,71,70,75,65,61,73,69,68,66,63,70,61,68,70,68,67,67,68,64,68,66,75,57,74,67,59,65,68,64,73,65,75,79,74,76,62,59,77,68,71,68,58,73,65,78,65,61,71,64,60,72,65,71,60,61,65,79,62,76,74,72,75,71,69,72,66,69,65,69,63,69,73,59,80,73,78,74,82,62,71,57,67,72,63,71,64,55,75,77,69,65,72,70,67,68,67,70,71,62,72,70,73,74,77,69,74,69,69,64,67,72,69,66,67,78,84,73,65,73,62,72,72,79,79,72,73,68,66,66,72,75,70,64,72,73,69,55,74,77,81,66,73,68,69,64,69,72,67,63,70,64,67,73,62,74,
